AMEX60DD000001	ZFP37-ZNF568
AMEX60DD000056	AMEX60DD000056
AMEX60DD000057	AMEX60DD000057
AMEX60DD000058	LOC115474470-ZNF268
AMEX60DD000059	ZNF300-ZNF268
AMEX60DD000060	LOC101542680-ZNF84
AMEX60DD000061	OJAV_G00236990
AMEX60DD000062	D5F01_LYC25363
AMEX60DD000063	LOC108695870-CASR
AMEX60DD000064	AMEX60DD000064
AMEX60DD000065	PIWIL1
AMEX60DD000066	AMEX60DD000066
AMEX60DD000067	RIMBP2
AMEX60DD000068	AMEX60DD000068
AMEX60DD000069	AMEX60DD000069
AMEX60DD000070	AMEX60DD000070
AMEX60DD000071	AMEX60DD000071
AMEX60DD000072	RAN
AMEX60DD000073	AMEX60DD000073
AMEX60DD000074	AMEX60DD000074
AMEX60DD000075	RAN
AMEX60DD000076	AMEX60DD000076
AMEX60DD000077	AMEX60DD000077
AMEX60DD000078	AMEX60DD000078
AMEX60DD000079	AMEX60DD000079
AMEX60DD000080	AMEX60DD000080
AMEX60DD000081	ADGRD1
AMEX60DD000082	LOC106801752-ADGRD1
AMEX60DD000083	AMEX60DD000083
AMEX60DD000084	LOC106489890-ADGRD1
AMEX60DD000085	LOC104345071-ADGRD1
AMEX60DD000086	LOC104345071-ADGRD1
AMEX60DD000087	LOC112843268
AMEX60DD000088	ROHU_011646
AMEX60DD000089	AMEX60DD000089
AMEX60DD000090	AMEX60DD000090
AMEX60DD000091	AMEX60DD000091
AMEX60DD000092	AMEX60DD000092
AMEX60DD000093	AMEX60DD000093
AMEX60DD000094	AMEX60DD000094
AMEX60DD000095	DNAI1
AMEX60DD000096	AMEX60DD000096
AMEX60DD000097	PRG4
AMEX60DD000098	AMEX60DD000098
AMEX60DD000099	E1301_TTI003913
AMEX60DD000100	AMEX60DD000100
AMEX60DD000101	AMEX60DD000101
AMEX60DD000102	M959_06098
AMEX60DD000103	SFSWAP
AMEX60DD000104	SFSWAP
AMEX60DD000105	AMEX60DD000105
AMEX60DD000106	LOC115396492
AMEX60DD000107	LOC113430707-ULK1
AMEX60DD000108	MMP17
AMEX60DD000109	BLOC1S2
AMEX60DD000110	AMEX60DD000110
AMEX60DD000111	LOC115100672
AMEX60DD000112	AMEX60DD000112
AMEX60DD000113	AMEX60DD000113
AMEX60DD000114	LOC103188037
AMEX60DD000115	DPX16_4744
AMEX60DD000116	AMEX60DD000116
AMEX60DD000117	AMEX60DD000117
AMEX60DD000118	AMEX60DD000118
AMEX60DD000119	MMP17
AMEX60DD000120	AMEX60DD000120
AMEX60DD000121	PPIL2
AMEX60DD000122	PUS1
AMEX60DD000123	LOC110015751-RTL1
AMEX60DD000124	EP400
AMEX60DD000125	AMEX60DD000125
AMEX60DD000126	YPEL2
AMEX60DD000127	AMEX60DD000127
AMEX60DD000128	PPIL2
AMEX60DD000129	LOC101937578-HIRA
AMEX60DD000130	AMEX60DD000130
AMEX60DD000131	MRPL40-NLVCF
AMEX60DD000132	LOC115100255-C22ORF39
AMEX60DD000133	UFD1
AMEX60DD000134	CDC45
AMEX60DD000135	AMEX60DD000135
AMEX60DD000136	ASZ78_015360-CLDN5
AMEX60DD000137	LOC101939207-SEPTIN2
AMEX60DD000138	TXPB_URIBO1-PGBD4
AMEX60DD000139	AMEX60DD000139
AMEX60DD000140	AMEX60DD000140
AMEX60DD000141	SEPTIN5
AMEX60DD000142	AMEX60DD000142
AMEX60DD000143	AMEX60DD000143
AMEX60DD000144	AMEX60DD000144
AMEX60DD000145	GP1BB
AMEX60DD000146	CAMKK1
AMEX60DD000147	TBX1
AMEX60DD000148	GNB1L
AMEX60DD000149	LOC111947684
AMEX60DD000150	TXNRD2
AMEX60DD000151	AMEX60DD000151
AMEX60DD000152	TXNRD2
AMEX60DD000153	AMEX60DD000153
AMEX60DD000154	AMEX60DD000154
AMEX60DD000155	COMT
AMEX60DD000156	AMEX60DD000156
AMEX60DD000157	AMEX60DD000157
AMEX60DD000158	AMEX60DD000158
AMEX60DD000159	LOC115355879
AMEX60DD000160	ARVCF
AMEX60DD000161	LOC106602272-LOC105371409
AMEX60DD000162	AMEX60DD000162
AMEX60DD000163	TANGO2
AMEX60DD000164	DGCR8
AMEX60DD000165	AMEX60DD000165
AMEX60DD000166	TRMT2A
AMEX60DD000167	RANBP1
AMEX60DD000168	AMEX60DD000168
AMEX60DD000169	AMEX60DD000169
AMEX60DD000170	ZDHHC8
AMEX60DD000171	PGAM5
AMEX60DD000172	ANKLE2
AMEX60DD000173	ANKLE2
AMEX60DD000174	GOLGA3
AMEX60DD000175	AMEX60DD000175
AMEX60DD000176	AMEX60DD000176
AMEX60DD000177	AMEX60DD000177
AMEX60DD000178	LOC104614348-GOLGA3
AMEX60DD000179	ANKLE2
AMEX60DD000180	ANKLE2
AMEX60DD000181	GOLGA3
AMEX60DD000182	AMEX60DD000182
AMEX60DD000183	LOC115073368
AMEX60DD000184	LOC104632589
AMEX60DD000185	AMEX60DD000185
AMEX60DD000186	LOC114595149
AMEX60DD000187	N/A
AMEX60DD000188	AMEX60DD000188
AMEX60DD000189	AMEX60DD000189
AMEX60DD000190	AMEX60DD000190
AMEX60DD000191	AMEX60DD000191
AMEX60DD000192	AMEX60DD000192
AMEX60DD000193	CHFR
AMEX60DD000194	AMEX60DD000194
AMEX60DD000195	CHFR
AMEX60DD000196	AMEX60DD000196
AMEX60DD000197	AMEX60DD000197
AMEX60DD000198	FBRSL1
AMEX60DD000199	AMEX60DD000199
AMEX60DD000200	AMEX60DD000200
AMEX60DD000201	AMEX60DD000201
AMEX60DD000202	AMEX60DD000202
AMEX60DD000203	AMEX60DD000203
AMEX60DD000204	AMEX60DD000204
AMEX60DD000205	AMEX60DD000205
AMEX60DD000206	N/A
AMEX60DD000207	AMEX60DD000207
AMEX60DD000208	AMEX60DD000208
AMEX60DD000209	XELAEV_18041766MG
AMEX60DD000210	GALNT9
AMEX60DD000211	AMEX60DD000211
AMEX60DD000212	N/A
AMEX60DD000213	AMEX60DD000213
AMEX60DD000214	AMEX60DD000214
AMEX60DD000215	COMT
AMEX60DD000216	LOC115479915-NOC4L
AMEX60DD000217	BANF1
AMEX60DD000218	MAPK1
AMEX60DD000219	AMEX60DD000219
AMEX60DD000220	AMEX60DD000220
AMEX60DD000221	AMEX60DD000221
AMEX60DD000222	AMEX60DD000222
AMEX60DD000223	PPM1F
AMEX60DD000224	TOP3B
AMEX60DD000225	AMEX60DD000225
AMEX60DD000226	ZBED9
AMEX60DD000227	AMEX60DD000227
AMEX60DD000228	AMEX60DD000228
AMEX60DD000229	LOC115372353
AMEX60DD000230	AMEX60DD000230
AMEX60DD000231	AMEX60DD000231
AMEX60DD000232	LOC106732794
AMEX60DD000233	AMEX60DD000233
AMEX60DD000234	AMEX60DD000234
AMEX60DD000235	AMEX60DD000235
AMEX60DD000236	SDF2L1
AMEX60DD000237	LOC115073555
AMEX60DD000238	AMEX60DD000238
AMEX60DD000239	AMEX60DD000239
AMEX60DD000240	AMEX60DD000240
AMEX60DD000241	AMEX60DD000241
AMEX60DD000242	AMEX60DD000242
AMEX60DD000243	YDJC
AMEX60DD000244	PARPI_0011654
AMEX60DD000245	AB205_0136590-TOP3B
AMEX60DD000246	AMEX60DD000246
AMEX60DD000247	HIC2
AMEX60DD000248	AMEX60DD000248
AMEX60DD000249	AMEX60DD000249
AMEX60DD000250	PI4KA
AMEX60DD000251	HCG_1999854
AMEX60DD000252	SERPIND1
AMEX60DD000253	SNAP29
AMEX60DD000254	CLTCL1
AMEX60DD000255	AMEX60DD000255
AMEX60DD000256	PARPI_0011647-CLTCL1
AMEX60DD000257	SLC25A1
AMEX60DD000258	AMEX60DD000258
AMEX60DD000259	LOC109312801-SBSPON
AMEX60DD000260	LOC112120414-THADA
AMEX60DD000261	AMEX60DD000261
AMEX60DD000262	AMEX60DD000262
AMEX60DD000263	AMEX60DD000263
AMEX60DD000264	GSC2
AMEX60DD000265	ESS2
AMEX60DD000266	TSSK2
AMEX60DD000267	DGCR2
AMEX60DD000268	AMEX60DD000268
AMEX60DD000269	GSONMT00048522001
AMEX60DD000270	LOC115073307
AMEX60DD000271	AMEX60DD000271
AMEX60DD000272	LOC109282924
AMEX60DD000273	IGLC1
AMEX60DD000274	N/A
AMEX60DD000275	LOC107507477
AMEX60DD000276	LOC107112699
AMEX60DD000277	AMEX60DD000277
AMEX60DD000278	LOC107112699-IGLV
AMEX60DD000279	LOC107125085-IGLV
AMEX60DD000280	LOC107112699-IGLV
AMEX60DD000281	LOC107112698-HCG96018
AMEX60DD000282	LOC114586993-IGLV6
AMEX60DD000283	PARPI_0032739-IGLV6
AMEX60DD000284	N/A
AMEX60DD000285	IG
AMEX60DD000286	IGL@-IG
AMEX60DD000287	MONAX_5E002063
AMEX60DD000288	TREES_T100009970
AMEX60DD000289	IG
AMEX60DD000290	LOC107526776
AMEX60DD000291	LOC102250240
AMEX60DD000292	IGLV
AMEX60DD000293	IGLV
AMEX60DD000294	IGLV
AMEX60DD000295	LOC102250240
AMEX60DD000296	LOC607368
AMEX60DD000297	LOC102250240
AMEX60DD000298	LOC102939850
AMEX60DD000299	N/A
AMEX60DD000300	LOC102250240
AMEX60DD000301	LOC111092690
AMEX60DD000302	IGLV5-48
AMEX60DD000303	LOC107112707
AMEX60DD000304	N/A
AMEX60DD000305	N/A
AMEX60DD000306	N/A
AMEX60DD000307	N/A
AMEX60DD000308	LOC107112710-VPREB1
AMEX60DD000309	LOC100560921
AMEX60DD000310	LOC113837993
AMEX60DD000311	LOC100336780
AMEX60DD000312	LOC102250240
AMEX60DD000313	UY3_02104
AMEX60DD000314	D623_10000469
AMEX60DD000315	PARPI_0029472
AMEX60DD000316	UY3_02104
AMEX60DD000317	LOC101951136
AMEX60DD000318	N/A
AMEX60DD000319	LOC101951136
AMEX60DD000320	IGLV
AMEX60DD000321	LOCUS2
AMEX60DD000322	LOCUS2
AMEX60DD000323	XB5865391.L
AMEX60DD000324	LOC107112706
AMEX60DD000325	AMEX60DD000325
AMEX60DD000326	IG
AMEX60DD000327	IGLV81
AMEX60DD000328	IG
AMEX60DD000329	IGL@-IG
AMEX60DD000330	LOC102250240
AMEX60DD000331	LOC101951136
AMEX60DD000332	LOC102944433
AMEX60DD000333	LOC102461666
AMEX60DD000334	AIMP1
AMEX60DD000335	EOD39_15421-AIMP1
AMEX60DD000336	MMP11
AMEX60DD000337	SMARCB1
AMEX60DD000338	DERL2
AMEX60DD000339	AMEX60DD000339
AMEX60DD000340	CHCHD10
AMEX60DD000341	C11H22ORF15-C22ORF15
AMEX60DD000342	AMEX60DD000342
AMEX60DD000343	AMEX60DD000343
AMEX60DD000344	IGLV
AMEX60DD000345	EGK_02836
AMEX60DD000346	LOC115661072
AMEX60DD000347	LOC102944433
AMEX60DD000348	UY3_02104
AMEX60DD000349	N/A
AMEX60DD000350	LOC102939850
AMEX60DD000351	LOC105706714
AMEX60DD000352	LOC115661064
AMEX60DD000353	LOC102939850-IGLV51
AMEX60DD000354	LOC102939850
AMEX60DD000355	N/A
AMEX60DD000356	AMEX60DD000356
AMEX60DD000357	N/A
AMEX60DD000358	LOCUS2
AMEX60DD000359	N/A
AMEX60DD000360	AMEX60DD000360
AMEX60DD000361	AMEX60DD000361
AMEX60DD000362	SLC2A11
AMEX60DD000363	SLC2A11
AMEX60DD000364	LOC112992796-SLC2A11
AMEX60DD000365	AMEX60DD000365
AMEX60DD000366	N/A
AMEX60DD000367	LOC105357518-SLC2A11
AMEX60DD000368	AMEX60DD000368
AMEX60DD000369	AMEX60DD000369
AMEX60DD000370	LOC111772992
AMEX60DD000371	LOC115480337-SLC2A11
AMEX60DD000372	AMEX60DD000372
AMEX60DD000373	LOC115480337-SLC2A11
AMEX60DD000374	LOC103817995-SLC2A9
AMEX60DD000375	AMEX60DD000375
AMEX60DD000376	LOC115072934-SLC2A9
AMEX60DD000377	AMEX60DD000377
AMEX60DD000378	DR999_PMT02494
AMEX60DD000379	AMEX60DD000379
AMEX60DD000380	AMEX60DD000380
AMEX60DD000381	AMEX60DD000381
AMEX60DD000382	AMEX60DD000382
AMEX60DD000383	AMEX60DD000383
AMEX60DD000384	LOC107112706-IGLV5-48
AMEX60DD000385	GTF2IRD2
AMEX60DD000386	N/A
AMEX60DD000387	AMEX60DD000387
AMEX60DD000388	COMT
AMEX60DD000389	LOC115480337-SLC2A9
AMEX60DD000390	ROHU_010238
AMEX60DD000391	LOC116219103
AMEX60DD000392	LOC115480337-SLC2A9
AMEX60DD000393	LOC115480574-SLC2A11
AMEX60DD000394	LOC115480337-SLC2A9
AMEX60DD000395	N/A
AMEX60DD000396	E1301_TTI003913
AMEX60DD000397	N/A
AMEX60DD000398	URAD
AMEX60DD000399	AMEX60DD000399
AMEX60DD000400	DDT
AMEX60DD000401	AMEX60DD000401
AMEX60DD000402	N/A
AMEX60DD000403	AMEX60DD000403
AMEX60DD000404	CABIN1
AMEX60DD000405	AMEX60DD000405
AMEX60DD000406	AMEX60DD000406
AMEX60DD000407	AMEX60DD000407
AMEX60DD000408	AMEX60DD000408
AMEX60DD000409	VEGT-TBX6
AMEX60DD000410	LOC115088534-HARBI1
AMEX60DD000411	AMEX60DD000411
AMEX60DD000412	CRKL
AMEX60DD000413	ANAPL_03341
AMEX60DD000414	KLHL22
AMEX60DD000415	MED15
AMEX60DD000416	LOC115480918-CCDC74A
AMEX60DD000417	SMPD4
AMEX60DD000418	AMEX60DD000418
AMEX60DD000419	AMEX60DD000419
AMEX60DD000420	GGT5
AMEX60DD000421	AMEX60DD000421
AMEX60DD000422	AMEX60DD000422
AMEX60DD000423	AMEX60DD000423
AMEX60DD000424	E1301_TTI003913
AMEX60DD000425	AMEX60DD000425
AMEX60DD000426	AMEX60DD000426
AMEX60DD000427	AMEX60DD000427
AMEX60DD000428	AMEX60DD000428
AMEX60DD000429	AMEX60DD000429
AMEX60DD000430	AMEX60DD000430
AMEX60DD000431	LLAP_20936-GGT5
AMEX60DD000432	AMEX60DD000432
AMEX60DD000433	LRRC75B
AMEX60DD000434	LRRC75B
AMEX60DD000435	AMEX60DD000435
AMEX60DD000436	LRRC75B
AMEX60DD000437	AMEX60DD000437
AMEX60DD000438	LRRC75B-LRRC75A
AMEX60DD000439	SNRPD3
AMEX60DD000440	GUCD1
AMEX60DD000441	DPX16_9183
AMEX60DD000442	LOC107385925
AMEX60DD000443	AMEX60DD000443
AMEX60DD000444	UPB1
AMEX60DD000445	AMEX60DD000445
AMEX60DD000446	AMEX60DD000446
AMEX60DD000447	AMEX60DD000447
AMEX60DD000448	SPECC1L
AMEX60DD000449	AMEX60DD000449
AMEX60DD000450	BCR
AMEX60DD000451	AMEX60DD000451
AMEX60DD000452	AMEX60DD000452
AMEX60DD000453	RAB36
AMEX60DD000454	AMEX60DD000454
AMEX60DD000455	AMEX60DD000455
AMEX60DD000456	AMEX60DD000456
AMEX60DD000457	RAB36
AMEX60DD000458	AMEX60DD000458
AMEX60DD000459	RSPH14
AMEX60DD000460	LOC101523373-IDI1
AMEX60DD000461	GNAZ
AMEX60DD000462	SLC5A1
AMEX60DD000463	AMEX60DD000463
AMEX60DD000464	YWHAH
AMEX60DD000465	DEPDC5
AMEX60DD000466	AMEX60DD000466
AMEX60DD000467	PRR14L
AMEX60DD000468	AMEX60DD000468
AMEX60DD000469	FD755_009355
AMEX60DD000470	ROHU_010238
AMEX60DD000471	LRFN4B-RTL1
AMEX60DD000472	LOC101950947
AMEX60DD000473	PISD
AMEX60DD000474	SFI1
AMEX60DD000475	EIF4ENIF1
AMEX60DD000476	DRG1
AMEX60DD000477	PATZ1
AMEX60DD000478	AMEX60DD000478
AMEX60DD000479	PIK3IP1
AMEX60DD000480	AMEX60DD000480
AMEX60DD000481	AMEX60DD000481
AMEX60DD000482	LIMK2
AMEX60DD000483	LOC115100791
AMEX60DD000484	RNF185
AMEX60DD000485	LOC105527942-C12ORF43
AMEX60DD000486	AMEX60DD000486
AMEX60DD000487	HNF1A
AMEX60DD000488	SPPL3
AMEX60DD000489	ACADS
AMEX60DD000490	UNC119B
AMEX60DD000491	LOC115401458
AMEX60DD000492	MLEC
AMEX60DD000493	AMEX60DD000493
AMEX60DD000494	AMEX60DD000494
AMEX60DD000495	DPX16_12726
AMEX60DD000496	N/A
AMEX60DD000497	AMEX60DD000497
AMEX60DD000498	POP5
AMEX60DD000499	RNF10
AMEX60DD000500	COQ5
AMEX60DD000501	LOC110406354
AMEX60DD000502	AMEX60DD000502
AMEX60DD000503	AMEX60DD000503
AMEX60DD000504	TRIAP1
AMEX60DD000505	GATC
AMEX60DD000506	AMEX60DD000506
AMEX60DD000507	COX6A1
AMEX60DD000508	AMEX60DD000508
AMEX60DD000509	MSI1A-MSI1
AMEX60DD000510	AMEX60DD000510
AMEX60DD000511	PLA2G1B
AMEX60DD000512	PLA2G1B
AMEX60DD000513	AMEX60DD000513
AMEX60DD000514	EOD39_18978
AMEX60DD000515	AMEX60DD000515
AMEX60DD000516	AMEX60DD000516
AMEX60DD000517	AMEX60DD000517
AMEX60DD000518	WDR3-UNKNOWN
AMEX60DD000519	SIRT4
AMEX60DD000520	EEF1A1
AMEX60DD000521	EEF1A1
AMEX60DD000522	EEF1A1
AMEX60DD000523	SIRT4
AMEX60DD000524	SIRT4
AMEX60DD000525	PXN
AMEX60DD000526	RPLP0
AMEX60DD000527	DR999_PMT12737
AMEX60DD000528	LOC111559199
AMEX60DD000529	AMEX60DD000529
AMEX60DD000530	RAB35
AMEX60DD000531	AMEX60DD000531
AMEX60DD000532	BICDL1
AMEX60DD000533	MONAX_5E024994-VMP1
AMEX60DD000534	AMEX60DD000534
AMEX60DD000535	CIT
AMEX60DD000536	AMEX60DD000536
AMEX60DD000537	AMEX60DD000537
AMEX60DD000538	AMEX60DD000538
AMEX60DD000539	PRKAB1
AMEX60DD000540	AMEX60DD000540
AMEX60DD000541	AMEX60DD000541
AMEX60DD000542	AMEX60DD000542
AMEX60DD000543	AMEX60DD000543
AMEX60DD000544	DR999_PMT12749-TMEM233
AMEX60DD000545	NCOR2
AMEX60DD000546	AMEX60DD000546
AMEX60DD000547	LOC103774904-NCOR2
AMEX60DD000548	NCOR2
AMEX60DD000549	AMEX60DD000549
AMEX60DD000550	AMEX60DD000550
AMEX60DD000551	AMEX60DD000551
AMEX60DD000552	RFLNA
AMEX60DD000553	AMEX60DD000553
AMEX60DD000554	LOC111664608-DNAH10
AMEX60DD000555	LLAP_17352-DNAH10
AMEX60DD000556	AMEX60DD000556
AMEX60DD000557	AMEX60DD000557
AMEX60DD000558	DPX16_23792
AMEX60DD000559	CCDC92
AMEX60DD000560	AMEX60DD000560
AMEX60DD000561	DNAH10
AMEX60DD000562	DNAH10
AMEX60DD000563	AMEX60DD000563
AMEX60DD000564	OJAV_G00236990
AMEX60DD000565	ATP6V0A2
AMEX60DD000566	TCTN2
AMEX60DD000567	AMEX60DD000567
AMEX60DD000568	LOC108716549
AMEX60DD000569	GTF2H3
AMEX60DD000570	EIF2B1
AMEX60DD000571	DDX55
AMEX60DD000572	TMED2
AMEX60DD000573	RILPL1
AMEX60DD000574	LOC116219103
AMEX60DD000575	SNRNP35
AMEX60DD000576	RILPL2
AMEX60DD000577	AMEX60DD000577
AMEX60DD000578	AMEX60DD000578
AMEX60DD000579	KMT5A
AMEX60DD000580	LOC106705792
AMEX60DD000581	AMEX60DD000581
AMEX60DD000582	SBNO1
AMEX60DD000583	SBNO1
AMEX60DD000584	AMEX60DD000584
AMEX60DD000585	CDK2AP1
AMEX60DD000586	C13H12ORF65-C12ORF65
AMEX60DD000587	MPHOSPH9
AMEX60DD000588	AMEX60DD000588
AMEX60DD000589	AMEX60DD000589
AMEX60DD000590	AMEX60DD000590
AMEX60DD000591	PITPNM2
AMEX60DD000592	ARL6IP4
AMEX60DD000593	OGFOD2
AMEX60DD000594	LOC102930336-GIN1
AMEX60DD000595	CIRBP
AMEX60DD000596	ABCB9
AMEX60DD000597	VPS37B
AMEX60DD000598	HIP1R
AMEX60DD000599	CCDC62
AMEX60DD000600	AMEX60DD000600
AMEX60DD000601	DENR
AMEX60DD000602	HCAR1-HCAR3
AMEX60DD000603	OGFOD2
AMEX60DD000604	PITPNM2
AMEX60DD000605	CIRBP
AMEX60DD000606	AMEX60DD000606
AMEX60DD000607	RPS2
AMEX60DD000608	KNTC1
AMEX60DD000609	XELAEV_18000201MG
AMEX60DD000610	RSRC2
AMEX60DD000611	LOC115100635
AMEX60DD000612	ZCCHC8
AMEX60DD000613	AMEX60DD000613
AMEX60DD000614	CLIP1
AMEX60DD000615	VPS33A
AMEX60DD000616	PARPI_0014259
AMEX60DD000617	AMEX60DD000617
AMEX60DD000618	DIABLO
AMEX60DD000619	B3GNT4
AMEX60DD000620	LRRC43
AMEX60DD000621	AMEX60DD000621
AMEX60DD000622	AMEX60DD000622
AMEX60DD000623	AMEX60DD000623
AMEX60DD000624	BCL7A
AMEX60DD000625	WDR66
AMEX60DD000626	CYRIA
AMEX60DD000627	WDR66
AMEX60DD000628	PSMD9
AMEX60DD000629	AMEX60DD000629
AMEX60DD000630	LOC115479662-HPD
AMEX60DD000631	LOCUS7-SETD1B
AMEX60DD000632	SETD1B
AMEX60DD000633	D4764_17G0006420
AMEX60DD000634	AMEX60DD000634
AMEX60DD000635	AMEX60DD000635
AMEX60DD000636	AMEX60DD000636
AMEX60DD000637	AMEX60DD000637
AMEX60DD000638	RHOF
AMEX60DD000639	AMEX60DD000639
AMEX60DD000640	TMEM120B
AMEX60DD000641	MORN3
AMEX60DD000642	ORAI1
AMEX60DD000643	KDM2B
AMEX60DD000644	AMEX60DD000644
AMEX60DD000645	AMEX60DD000645
AMEX60DD000646	RNF34
AMEX60DD000647	ANAPC5
AMEX60DD000648	AMEX60DD000648
AMEX60DD000649	AMEX60DD000649
AMEX60DD000650	CAMKK2
AMEX60DD000651	AMEX60DD000651
AMEX60DD000652	P2RX4
AMEX60DD000653	P2RX7
AMEX60DD000654	AMEX60DD000654
AMEX60DD000655	IFT81
AMEX60DD000656	AMEX60DD000656
AMEX60DD000657	AMEX60DD000657
AMEX60DD000658	ATP2A2
AMEX60DD000659	ANAPC7
AMEX60DD000660	LOC104947849-ANAPC7
AMEX60DD000661	LOC104926370-UBE2G1
AMEX60DD000662	ARPC3
AMEX60DD000663	AMEX60DD000663
AMEX60DD000664	AMEX60DD000664
AMEX60DD000665	GPN3
AMEX60DD000666	FAM216A
AMEX60DD000667	VPS29
AMEX60DD000668	RAD9B
AMEX60DD000669	PARPI_0014250-PPTC7
AMEX60DD000670	TCTN1
AMEX60DD000671	AMEX60DD000671
AMEX60DD000672	HVCN1
AMEX60DD000673	PPP1CC
AMEX60DD000674	AMEX60DD000674
AMEX60DD000675	CCDC63
AMEX60DD000676	MYL2
AMEX60DD000677	AMEX60DD000677
AMEX60DD000678	CUX2
AMEX60DD000679	LOC102352108
AMEX60DD000680	PHETA2-PHETA1
AMEX60DD000681	ATXN2
AMEX60DD000682	AMEX60DD000682
AMEX60DD000683	ATXN2
AMEX60DD000684	BRAP
AMEX60DD000685	LOC100336828
AMEX60DD000686	ACAD10
AMEX60DD000687	UBE2I
AMEX60DD000688	AMEX60DD000688
AMEX60DD000689	ALDH2
AMEX60DD000690	AMEX60DD000690
AMEX60DD000691	MAPKAPK5
AMEX60DD000692	AMEX60DD000692
AMEX60DD000693	AMEX60DD000693
AMEX60DD000694	TMEM116
AMEX60DD000695	MDA_GLEAN10011711
AMEX60DD000696	ERP29
AMEX60DD000697	AMEX60DD000697
AMEX60DD000698	AMEX60DD000698
AMEX60DD000699	AMEX60DD000699
AMEX60DD000700	NAA25
AMEX60DD000701	AMEX60DD000701
AMEX60DD000702	AMEX60DD000702
AMEX60DD000703	TRAFD1
AMEX60DD000704	HECTD4-KIAA0614
AMEX60DD000705	HECTD4
AMEX60DD000706	HECTD4
AMEX60DD000707	AMEX60DD000707
AMEX60DD000708	RPL6
AMEX60DD000709	PTPN11
AMEX60DD000710	AMEX60DD000710
AMEX60DD000711	RPH3A
AMEX60DD000712	LOC113432265-PSMB6
AMEX60DD000713	LOC111606693
AMEX60DD000714	AMEX60DD000714
AMEX60DD000715	AMEX60DD000715
AMEX60DD000716	AMEX60DD000716
AMEX60DD000717	AMEX60DD000717
AMEX60DD000718	CMKLR1
AMEX60DD000719	AMEX60DD000719
AMEX60DD000720	AMEX60DD000720
AMEX60DD000721	AMEX60DD000721
AMEX60DD000722	PTPN11
AMEX60DD000723	AMEX60DD000723
AMEX60DD000724	LOC102733047-USP30
AMEX60DD000725	LOC102733047-USP30
AMEX60DD000726	AMEX60DD000726
AMEX60DD000727	AMEX60DD000727
AMEX60DD000728	SART3
AMEX60DD000729	FICD
AMEX60DD000730	SART3
AMEX60DD000731	SART3
AMEX60DD000732	TMEM119
AMEX60DD000733	TMEM119
AMEX60DD000734	AMEX60DD000734
AMEX60DD000735	ISCU
AMEX60DD000736	D9C73_028124-SELPLG
AMEX60DD000737	AMEX60DD000737
AMEX60DD000738	AMEX60DD000738
AMEX60DD000739	CORO1C
AMEX60DD000740	AMEX60DD000740
AMEX60DD000741	AMEX60DD000741
AMEX60DD000742	SSH1
AMEX60DD000743	LOC104149398-SSH1
AMEX60DD000744	SSH1
AMEX60DD000745	DAO
AMEX60DD000746	AMEX60DD000746
AMEX60DD000747	LOC103207168-CYB5A
AMEX60DD000748	SVOP
AMEX60DD000749	LOC104314052-SVOP
AMEX60DD000750	AMEX60DD000750
AMEX60DD000751	USP30
AMEX60DD000752	AMEX60DD000752
AMEX60DD000753	ALKBH2
AMEX60DD000754	UNG
